"Check correct customer can view Message","Check correct customer can view Message"
"Use long tracking code?","Use long tracking code?"
"Use short or long tracking code. The long tracking code use sha1 to encode.","Use short or long tracking code. The long tracking code use sha1 to encode."
"Secret Key","Secret Key"
"Input the key which you want to use to generate tracking code.","Input the key which you want to use to generate tracking code."
"Number Chunks","Number Chunks"
"is number of chunks, default = 1.<br/>If you just want to generate random string, set this to 1. It required at least number 1.<br/>Example: If number of chunk is 3. XXXXX-XXXXX-XXXXX","is number of chunks, default = 1.<br/>If you just want to generate random string, set this to 1. It required at least number 1.<br/>Example: If number of chunk is 3. XXXXX-XXXXX-XXXXX"
"Number Letters Per Chunk","Number Letters Per Chunk"
"is number of letters per chunk, default = 9.<br/>Example: If number of letters per chunk is 2 and number of chunk is 3. XX-XX-XX","is number of letters per chunk, default = 9.<br/>Example: If number of letters per chunk is 2 and number of chunk is 3. XX-XX-XX"
"Separate Chunk Text","Separate Chunk Text"
"is separator text to separate chunks, default = -.<br/>Example: If separator is colon. XXXXX:XXXXX:XXXXX:XXXXX:XXXXX","is separator text to separate chunks, default = -.<br/>Example: If separator is colon. XXXXX:XXXXX:XXXXX:XXXXX:XXXXX"
"Lof Formbuilder: Form","Lof Formbuilder: Form"
Title,Title
"Title Color","Title Color"
"Input color name or color code. Example: #CC0000, white,...","Input color name or color code. Example: #CC0000, white,..."
"Prefix Class","Prefix Class"
"Display Type","Display Type"
"Icon Color","Icon Color"
"Icon Background Color","Icon Background Color"
Width(px),Width(px)
"Button Text","Button Text"
"Popup Width","Popup Width"
"Popup Height","Popup Height"
"Show after X seconds page is loaded","Show after X seconds page is loaded"
"Show By Cookie","Show By Cookie"
"Frame Work Css","Frame Work Css"
"Show Text Before Form","Show Text Before Form"
"Show Text After Form","Show Text After Form"
Template,Template
"Lof Formbuilder: Get Form Messages","Lof Formbuilder: Get Form Messages"
"Get messages from a form","Get messages from a form"
"Number Item","Number Item"
"Input custom module template file path. For example: <b>Lof_Formbuilder::widget/style1.phtml</b>. Empty for default","Input custom module template file path. For example: <b>Lof_Formbuilder::widget/style1.phtml</b>. Empty for default"
"Number Item Per Page","Number Item Per Page"
"Grid Pagination","Grid Pagination"
"Add New Blacklist","Add New Blacklist"
"Delete items","Delete items"
"Are you sure you wan't to delete selected items?","Are you sure you wan't to delete selected items?"
"Form Name","Form Name"
"Updated At","Updated At"
Created,Created
Modified,Modified
"Store View Id","Store View Id"
"Layout Update Xml","Layout Update Xml"
"Email Receive","Email Receive"
"Thanks Email Template","Thanks Email Template"
"Email Template","Email Template"
"Show Captcha","Show Captcha"
"Show Toplink","Show Toplink"
"Tracking Code","Tracking Code"
"Form Data","Form Data"
Params,Params
"Ip Address","Ip Address"
"Customer Id","Customer Id"
"Product Id","Product Id"
"Add New Category","Add New Category"
Error,Error
"LOF Formbuilder","LOF Formbuilder"
